Date,Close
8/16/2016,3.84
8/17/2016,3.87
8/18/2016,4.03
8/19/2016,4.24
8/22/2016,4.25
8/23/2016,4.18
8/24/2016,4.09
8/25/2016,4.06
8/26/2016,4.15
8/29/2016,4.14
8/30/2016,4.13
8/31/2016,4.14
9/1/2016,4.07
9/2/2016,4.24
9/6/2016,4.32
9/7/2016,4.28
9/8/2016,4.32
9/9/2016,4.1
9/12/2016,4.16
9/13/2016,4.06
9/14/2016,4.09
9/15/2016,4.18
9/16/2016,4.15
9/19/2016,4.3
9/20/2016,4.25
9/21/2016,4.45
9/22/2016,4.39
9/23/2016,4.34
9/26/2016,4.32
9/27/2016,4.39
9/28/2016,4.28
9/29/2016,4.3
9/30/2016,4.29
10/3/2016,4.3
10/4/2016,4.34
10/5/2016,4.38
10/6/2016,4.37
10/7/2016,4.44
10/10/2016,4.37
10/11/2016,4.23
10/12/2016,4.24
10/13/2016,4.21
10/14/2016,4.28
10/17/2016,4.2
10/18/2016,4.25
10/19/2016,4.34
10/20/2016,4.32
10/21/2016,4.35
10/24/2016,4.39
10/25/2016,4.35
10/26/2016,4.3
10/27/2016,4.14
10/28/2016,4.08
10/31/2016,4.14
11/1/2016,4.08
11/2/2016,4.36
11/3/2016,4.04
11/4/2016,3.92
11/7/2016,4.01
11/8/2016,4.14
11/9/2016,4.06
11/10/2016,4.01
11/11/2016,3.97
11/14/2016,3.79
11/15/2016,3.99
11/16/2016,4.04
11/17/2016,4.2
11/18/2016,4.41
11/21/2016,4.49
11/22/2016,4.3
11/23/2016,4.31
11/25/2016,4.33
11/28/2016,4.25
11/29/2016,4.26
11/30/2016,4.17
12/1/2016,3.97
12/2/2016,3.91
12/5/2016,4.06
12/6/2016,4.09
12/7/2016,4.07
12/8/2016,4.26
12/9/2016,4.22
12/12/2016,4.2
12/13/2016,4.23
12/14/2016,4.18
12/15/2016,4.24
12/16/2016,4.21
12/19/2016,4.19
12/20/2016,4.14
12/21/2016,4.08
12/22/2016,4.02
12/23/2016,4.13
12/27/2016,4.36
12/28/2016,4.32
12/29/2016,4.31
12/30/2016,4.29
1/3/2017,4.28
1/4/2017,4.41
1/5/2017,4.77
1/6/2017,4.69
1/9/2017,4.72
1/10/2017,4.79
1/11/2017,4.83
1/12/2017,4.86
1/13/2017,4.81
1/17/2017,4.95
1/18/2017,5
1/19/2017,5.07
1/20/2017,5.01
1/23/2017,4.94
1/24/2017,4.94
1/25/2017,5.14
1/26/2017,5.1
1/27/2017,5.15
1/30/2017,5.07
1/31/2017,5.08
2/1/2017,5.12
2/2/2017,5.23
2/3/2017,5.21
2/6/2017,5.27
2/7/2017,5.31
2/8/2017,5.34
2/9/2017,5.46
2/10/2017,5.52
2/13/2017,5.61
2/14/2017,5.61
2/15/2017,6.06
2/16/2017,6.1
2/17/2017,6.15
2/21/2017,6.31
2/22/2017,6.36
2/23/2017,6.27
2/24/2017,6.18
2/27/2017,5.99
2/28/2017,5.92
3/1/2017,5.97
3/2/2017,5.97
3/3/2017,6.03
3/6/2017,5.93
3/7/2017,6.01
3/8/2017,6.09
3/9/2017,6.24
3/10/2017,6.42
3/13/2017,6.49
3/14/2017,6.38
3/15/2017,6.48
3/16/2017,6.5
3/17/2017,6.7
3/20/2017,6.89
3/21/2017,6.72
3/22/2017,6.67
3/23/2017,6.76
3/24/2017,6.9
3/27/2017,7.04
3/28/2017,7.24
3/29/2017,7.27
3/30/2017,6.91
3/31/2017,6.81
4/3/2017,6.92
4/4/2017,6.85
4/5/2017,6.79
4/6/2017,6.85
4/7/2017,6.87
4/10/2017,6.93
4/11/2017,6.91
4/12/2017,6.93
4/13/2017,7.06
4/17/2017,7.17
4/18/2017,7.16
4/19/2017,7.26
4/20/2017,7.61
4/21/2017,7.64
4/24/2017,7.58
4/25/2017,7.67
4/26/2017,7.41
4/27/2017,7.31
4/28/2017,7.6
5/1/2017,7.73
5/2/2017,8.3
5/3/2017,8.17
5/4/2017,8.14
5/5/2017,8.55
5/8/2017,8.68
5/9/2017,8.91
5/10/2017,9.31
5/11/2017,9.2
5/12/2017,9.36
5/15/2017,9.42
5/16/2017,9.49
5/17/2017,8.98
5/18/2017,9.21
5/19/2017,8.89
5/22/2017,8.96
5/23/2017,9
5/24/2017,9.08
5/25/2017,9.02
5/26/2017,9.07
5/30/2017,9.06
5/31/2017,9.19
6/1/2017,9.34
6/2/2017,9.75
6/5/2017,9.75
6/6/2017,9.86
6/7/2017,9.7
6/8/2017,9.88
6/9/2017,9.15
6/12/2017,8.89
6/13/2017,8.69
6/14/2017,8.54
6/15/2017,8.55
6/16/2017,8.69
6/19/2017,9.06
6/20/2017,8.89
6/21/2017,9.13
6/22/2017,9.14
6/23/2017,9.45
6/26/2017,9.2
6/27/2017,8.7
6/28/2017,8.95
6/29/2017,8.64
6/30/2017,8.69
7/3/2017,8.6
7/5/2017,8.81
7/6/2017,8.62
7/7/2017,8.9
7/10/2017,9.1
7/11/2017,9.13
7/12/2017,9.47
7/13/2017,9.3
7/14/2017,9.24
7/17/2017,9.05
7/18/2017,9.32
7/19/2017,9.19
7/20/2017,9.09
7/21/2017,8.94
7/24/2017,9.36
7/25/2017,9.22
7/26/2017,9.39
7/27/2017,9.04
7/28/2017,9.3
7/31/2017,9.24
8/1/2017,10.41
8/2/2017,9.84
8/3/2017,9.72
8/4/2017,9.63
8/7/2017,9.78
8/8/2017,9.65
8/9/2017,9.52
8/10/2017,8.84
8/11/2017,9.17
8/14/2017,9.41
8/15/2017,9.32
8/16/2017,9.46
8/17/2017,9.35
8/18/2017,9.46
8/21/2017,9.63
8/22/2017,9.86
8/23/2017,10.25
8/24/2017,10.65
8/25/2017,10.37
8/28/2017,10.38
8/29/2017,10.44
8/30/2017,10.84
8/31/2017,11.09
9/1/2017,11.09
9/5/2017,11.07
9/6/2017,11.02
9/7/2017,11.35
9/8/2017,11.36
9/11/2017,11.8
9/12/2017,12.05
9/13/2017,11.92
9/14/2017,12.02
9/15/2017,12.03
9/18/2017,12.24
9/19/2017,12.29
9/20/2017,11.93
9/21/2017,12.02
9/22/2017,12.03
9/25/2017,11.45
9/26/2017,11.34
9/27/2017,11.74
9/28/2017,11.65
9/29/2017,11.65
10/2/2017,11.9
10/3/2017,11.68
10/4/2017,10.33
10/5/2017,10.04
10/6/2017,9.79
10/9/2017,9.74
10/10/2017,9.26
10/11/2017,9.5
10/12/2017,9.44
10/13/2017,9.42
10/16/2017,9.7
10/17/2017,9.62
10/18/2017,9.89
10/19/2017,9.82
10/20/2017,10.21
10/23/2017,10.29
10/24/2017,10.64
10/25/2017,10.3
10/26/2017,10.41
10/27/2017,10.73
10/30/2017,10.94
10/31/2017,9.95
11/1/2017,9.62
11/2/2017,9.99
11/3/2017,9.87
11/6/2017,9.98
11/7/2017,9.97
11/8/2017,9.94
11/9/2017,9.7
11/10/2017,10
11/13/2017,9.88
11/14/2017,9.9
11/15/2017,9.8
11/16/2017,10.39
11/17/2017,10.49
11/20/2017,10.86
11/21/2017,11.02
11/22/2017,11.04
11/24/2017,11.18
11/27/2017,11.34
11/28/2017,11.21
11/29/2017,10.37
11/30/2017,10.38
12/1/2017,10.33
12/4/2017,9.66
12/5/2017,9.53
12/6/2017,9.58
12/7/2017,9.98
12/8/2017,10.08
12/11/2017,10.41
12/12/2017,10.14
12/13/2017,10.32
12/14/2017,10.32
12/15/2017,10.52
12/18/2017,10.76
12/19/2017,10.57
12/20/2017,10.52
12/21/2017,10.48
12/22/2017,10.39
12/26/2017,10.48
12/27/2017,10.45
12/28/2017,10.24
12/29/2017,10.1
1/2/2018,10.55
1/3/2018,10.78
1/4/2018,11
1/5/2018,11.06
1/8/2018,11.24
1/9/2018,11.07
1/10/2018,11.1
1/11/2018,11.11
1/12/2018,11.28
1/16/2018,11.19
1/17/2018,11.49
1/18/2018,11.48
1/19/2018,11.55
1/22/2018,11.94
1/23/2018,11.87
1/24/2018,11.97
1/25/2018,12.49
1/26/2018,12.91
1/29/2018,12.73
1/30/2018,12.42
1/31/2018,12.79
2/1/2018,12.63
2/2/2018,12.51
2/5/2018,11.83
2/6/2018,12.21
